Domain Code,Domain,Area Code,Area,ISO Currency Code,Currency,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1970,1970,,7.500000007,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1970,1970,,4.761900004,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1970,1970,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1970,1970,,1.871328287,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1971,1971,,1.793301826,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1971,1971,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1971,1971,,4.761899999,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1971,1971,,7.491935231,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1972,1972,,7.594468374,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1972,1972,,8.681382583,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1972,1972,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1972,1972,,1.630326596,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1973,1973,,1.366478681,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1973,1973,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1973,1973,,9.99425,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1973,1973,,7.742038562,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1974,1974,,8.101603227,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1974,1974,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1974,1974,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1974,1974,,1.323095565,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1975,1975,,1.257927154,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1975,1975,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1975,1975,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1975,1975,,8.375891946,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1976,1976,,8.960412728,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1976,1976,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1976,1976,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1976,1976,,1.287432956,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1977,1977,,1.187313485,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1977,1977,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1977,1977,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1977,1977,,8.738576171,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1978,1978,,8.192840348,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1978,1978,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1978,1978,,0.044998427,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1978,1978,,1.026993654,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1979,1979,,0.937138367,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1979,1979,,0.043730753,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1979,1979,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1979,1979,,8.125790946,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1980,1980,,7.862944701,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1980,1980,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1980,1980,,0.044129167,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1980,1980,,0.929358209,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1981,1981,,1.155519651,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1981,1981,,0.049479902,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1981,1981,,9.9,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1981,1981,,8.658522817,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1982,1982,,9.455131934,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1982,1982,,11.84746667,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1982,1982,,0.050599608,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1982,1982,,1.240696618,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,79,Germany,EUR,Euro,5540,Standard local currency units per USD,1983,1983,,1.305460256,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1983,1983,,0.050599608,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1983,1983,,13.116975,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1983,1983,,10.09889824,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,100,India,INR,Indian Rupee,5540,Standard local currency units per USD,1984,1984,,11.36258333,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,165,Pakistan,PKR,Pakistan Rupee,5540,Standard local currency units per USD,1984,1984,,14.04633333,X,International reliable sources,Data from UNSD AMA
PE,Exchange rates - Annual,2,Afghanistan,AFN,Afghani,5540,Standard local currency units per USD,1984,1984,,0.050599606,X,International reliable sources,Data from UNSD AMA
